user,week,emailsOpened
0.0,2017-02-20 00:00:00,2.0
0.0,2017-03-06 00:00:00,1.0
0.0,2017-04-03 00:00:00,1.0
0.0,2017-04-17 00:00:00,1.0
0.0,2017-05-08 00:00:00,1.0
0.0,2017-05-22 00:00:00,1.0
0.0,2017-05-29 00:00:00,1.0
0.0,2017-06-05 00:00:00,1.0
0.0,2017-06-12 00:00:00,1.0
0.0,2017-06-19 00:00:00,2.0
0.0,2017-06-26 00:00:00,1.0
0.0,2017-07-03 00:00:00,2.0
0.0,2017-07-10 00:00:00,1.0
0.0,2017-07-17 00:00:00,1.0
0.0,2017-07-24 00:00:00,1.0
0.0,2017-07-31 00:00:00,2.0
0.0,2017-08-07 00:00:00,2.0
0.0,2017-08-14 00:00:00,1.0
0.0,2017-08-21 00:00:00,2.0
0.0,2017-09-04 00:00:00,1.0
0.0,2017-09-11 00:00:00,2.0
0.0,2017-10-02 00:00:00,2.0
0.0,2017-10-09 00:00:00,2.0
0.0,2017-10-16 00:00:00,3.0
0.0,2017-10-23 00:00:00,2.0
0.0,2017-11-06 00:00:00,1.0
0.0,2017-11-13 00:00:00,2.0
0.0,2017-11-20 00:00:00,2.0
0.0,2017-11-27 00:00:00,2.0
0.0,2017-12-04 00:00:00,1.0
0.0,2017-12-11 00:00:00,2.0
0.0,2017-12-18 00:00:00,1.0
0.0,2017-12-25 00:00:00,2.0
0.0,2018-01-01 00:00:00,3.0
0.0,2018-01-15 00:00:00,3.0
0.0,2018-01-22 00:00:00,3.0
0.0,2018-01-29 00:00:00,2.0
0.0,2018-02-05 00:00:00,3.0
0.0,2018-02-19 00:00:00,2.0
0.0,2018-02-26 00:00:00,2.0
0.0,2018-03-05 00:00:00,2.0
0.0,2018-03-12 00:00:00,3.0
0.0,2018-03-19 00:00:00,3.0
0.0,2018-03-26 00:00:00,2.0
0.0,2018-04-02 00:00:00,3.0
0.0,2018-04-09 00:00:00,2.0
0.0,2018-04-16 00:00:00,3.0
0.0,2018-04-23 00:00:00,3.0
0.0,2018-04-30 00:00:00,3.0
0.0,2018-05-07 00:00:00,2.0
0.0,2018-05-14 00:00:00,3.0
0.0,2018-05-21 00:00:00,3.0
0.0,2018-05-28 00:00:00,3.0
1.0,2017-06-19 00:00:00,1.0
1.0,2017-06-26 00:00:00,2.0
1.0,2017-07-03 00:00:00,3.0
1.0,2017-07-10 00:00:00,1.0
1.0,2017-07-17 00:00:00,2.0
1.0,2017-07-24 00:00:00,3.0
1.0,2017-07-31 00:00:00,1.0
1.0,2017-08-07 00:00:00,1.0
1.0,2017-08-14 00:00:00,2.0
1.0,2017-08-21 00:00:00,1.0
1.0,2017-08-28 00:00:00,2.0
1.0,2017-09-04 00:00:00,1.0
1.0,2017-09-11 00:00:00,1.0
1.0,2017-09-18 00:00:00,2.0
1.0,2017-09-25 00:00:00,1.0
1.0,2017-10-02 00:00:00,1.0
1.0,2017-10-09 00:00:00,2.0
1.0,2017-10-16 00:00:00,1.0
